rating,review_title,review_description,date,location,up_votes,down_votes
2,Slightly disappointed,Again the ear piece wires are a little bit thin. ,"Jun, 2020",", Kolkata",0,1
3,Nice,So there are chances of tearing. But that has never happened to me. ,"Jun, 2020",", Bengaluru",0,0
5,Best in the market!,Bass is not excellent but of average. ,"Jun, 2020",", Kottayam District",0,0
4,Good choice,I am using this product for a year. And I found no serious problems.,"Jun, 2020",", Karimnagar",0,0
5,Fabulous!,Very good product bye boat..,"Jun, 2020",", Yamunanagar",0,0
5,Perfect product!,It has very good base and sound quality is also good ,"Jun, 2020",", Lucknow",0,0
4,Value-for-money,I love it...❤️,"Jun, 2020",", Vashind",0,0
5,Highly recommended,"Superb sound quality with great bass and clear sound even in full volume ,the great experience, ","Jun, 2020",", Berhampore",0,0
3,Does the job,Go for it if u want Loudness n good bass 👌👌,"Jun, 2020",", Kolkata",0,0
4,Very Good,The Sound is very crystal clear in this price range but will be a bit pricky in the ear .Design wise its good but handle with care otherwise one side will surely stop working .Mic is also perfect.,"Jun, 2020",", Mubarakpur",0,0
5,Best in the market!,"very beautiful or affordable product in cheap range, beautiful sound quality, amazing looking... I love it ❤","Jun, 2020",", Dehradun",0,0
4,Good choice,The headphones worked very well for the first few months and then the mic suddenly stopped working and after fee days the right plug stopped working. The first 7 months it worked so well but then it started giving distorted sounds. I had high expectations from this product.,"Jun, 2020",", New Delhi",0,0
5,Super!,"I bought it for my uncle and he is very satisfied with the product. Build quality is good, sound clarity and bass is good too. The best wired earphones at this price range I guess.","Jun, 2020",", Arambag",0,0
5,Best in the market!,"Good product.. but bass is not like wings and Philip's earphones...try wings wireless neck band...mast hei...as I hv wings,Philip's,Intex and now boat in comparison to all wings is best then Philip's and intex and last boat","Jun, 2020",", Thrissur District",0,0
3,Does the job,"Just good and decent earphones. Build quality is good. Somehow, I liked the Mi basic earphones to be more rich in sound and bass.","Jul, 2020",", New Delhi",0,0
5,Perfect product!,Good product Thank you Flipkart fast delivery Thank a lot,"Jul, 2020",", Madhubani District",0,0
5,Excellent,"At a price range of 375-399 it is the the best anyone can get..i bought it for 375.. its good for Every purpose in terms of erphones but For Games like PUBG ,Fortnite, better spend atleast 200 more to get an earphones with better Soundsense for left/right differentiation. Its is excellent choice in this price bracket.","Jul, 2020",", New Delhi",0,0
4,Wonderful,"1st day review : This sounds amazing.....Good bass and for such a cost, You will not be disappointed...I brought it, tested it with some songs and i can clearly hear the song...The product is good...Lets see what happens in future....","Jul, 2020",", Maldah District",0,0
5,Just wow!,1 week review : The mic is amazing ...,"Jul, 2020",", Bhubaneswar",0,0
5,Terrific,The receiver has no trouble to listen what i say from the mic during calls...It is still giving good bass.. I can say to anyone that this is the best earphones under 500/-.,"Jul, 2020",", Bengaluru",0,0
5,Highly recommended,It is good for regular use but the bass is not that great...still the product is a good one and worth the money,"Jul, 2020",", Rangareddy District",0,0
5,Highly recommended,I am so much satisfied of this product.best bass . sound is awesome 😊😊 thank you so much ❤️,"Jul, 2020",", Cuttack",0,0
5,Classy product,In love with the fiery red smart unit... The bass is awesome on ears....,"Jul, 2020",", Mumbai",0,0
3,Good,"Nice ear phone , ordered for my wife","Jul, 2020",", Mumbai",0,0
4,Delightful,Why are you Flipkart guys asking me about Battery life have you lost it?,"Jun, 2020",", Barrackpore",0,0
5,Simply awesome,Anyways coming to review:,"Jun, 2020",", Wardha",0,0
5,Mind-blowing purchase,Pros,"Jun, 2020",", Kolkata",0,0
5,Simply awesome,1. Crispy clear sound,"Jun, 2020",", Thiruvananthapuram District",0,0
5,Great product,2. Great for music and streaming.,"Jun, 2020",", Mumbai",0,0
5,Super!,3. Great for calls.,"Jun, 2020",", Ghaziabad",0,0
4,Good choice,Cons,"Jun, 2020",", Navi Mumbai",0,0
4,Nice product,1. Bass is good but because of plastic body it's misses boom effect. It's bass is more like baam.,"Jun, 2020",", Barasat",0,0
5,Highly recommended,"2. If you're thinking of gaming like playing pubg on this then forget it, infact punish yourself by Unistalling pubg because your thinking is lika a noob you won't make any better.","Jun, 2020",", Mulamthuruthy",0,0
4,Value-for-money,3. Clip kyu kha gaye ek hi toh ty...,"Jun, 2020",", Ghaziabad",0,0
5,Simply awesome,"This is a super headset with amazing quality,more affordable,I love this brand,it's truly worth for the money ,the sound effect is amazing,the packaging was supr, there is no any irritation the drawback is ,right side is only suitable for right ear","Jul, 2020",", Ernakulam",0,0
5,Terrific purchase,Sound quality is awesome . Cool handy design  with incredible sonic clarity sound with extra bass. 🖤,"Jul, 2020",", Varanasi,",0,1
5,Excellent,"Personally I love Boat Earphones.. The service is so quick and the Brand is trustworthy... However, there is only one Service center is available to avail the Warranty in Jogeshwari, Mumbai. This Boat BassHead 100 is Cheapest Earphones of Boat And The Quality is Superb..Go for it","Jul, 2020",", Thane",0,0
5,Excellent,"Super hot Headphone..!!! Just got in 399/-, thank you flipkart.","Jul, 2020",", Hyderabad",0,0
5,Mind-blowing purchase,Fastest delivery it's within 2 days. Just try it you will like it,"Jul, 2020",", Dakshina Kannada District",0,0
5,Fabulous!,Its name was bassHead 100 but the bass was little bit low,"Jul, 2020",", Kochi",0,0
5,Simply awesome, you have to improve bass ,"Jul, 2020",", Mumbai",0,0
4,Delightful,    Thank You.... ,"Jul, 2020",", Ballia",0,0
5,Best in the market!,     Satisfied,"Jul, 2020",", Bandipur",0,0
4,Delightful,good audio quality. stylish finish. good material. this is a good value for money buy. go for it.,"Jun, 2020",", Kochi",0,0
5,Super!,"I loved this headset , crystal clear sound bass is awesome ","Jun, 2020",", Kharagpur",1,2
5,Highly recommended,I love boat wonderful headset 😘  ,"May, 2020",", Burdwan",1,2
4,Good quality product,Thank you flipkart,"Jul, 2019",", Kolkata",1,1
3,Good,But 1 thing it takes 5 long days to deliver the product .,"May, 2019",", Sandila",1,1
5,Simply awesome,Overall awesome product  5/5,"Apr, 2019",", Harohalli Industrial Area",1,1
5,Classy product,Product quality is awesome ..sound abd base quality is great at this price. I'm very happy with that.. delivery experience is great before date delivered,"Mar, 2019",", Bhubaneswar",1,1
5,Classy product,"I have been using this product for over 6 months now and it is working great, Crystal clear sound both through speaker and mic. The only reason I have not given 5 stars is because the bass is not too good. Otherwise I would recommend this product and say that it is worth it.","Aug, 2018",", Patna",1,1
3,Just okay,"very less bass with comparable to my MI earphone basic bought in same range, but vocal clarity is best in boat. overall decent gift for my wife.","Jan, 2018",", Kannur",1,1
5,Great product,"I used this product for five months, and then its jack was not working. So requested for a return/repair to boAt customer care. Trust me guys, their service is too good and I received a new one. ","May, 2019",", Coimbatore",1,2
5,Terrific purchase,Thanks to boAt for such wonderful product and service.,"Nov, 2019",", Kalyan",1,4
4,Good quality product,Nice headphones supper sound and good bass and also thanks to flipkart for the fast delivery iam happy with this headphone,"May, 2019",", Sibsagar",1,0
5,Wonderful,i had cx180 for like 3.5 years ..not better than cx180 but great at this price point.value for money item,"May, 2019",", Jaipur",1,0
5,Awesome,"Awesome Product ! Specialy Bass. Fits Very Well. Light Weight. I think this is the best quality earphone in this range. Thanks to Flipkart for the Fastest Delivery , it arrived at just 20 hours ! Sound Quality is Very Well !","Nov, 2018",", Berhampore",1,0
5,Excellent,Awesome product . Value for money. It has one year warranty so users have to register themselves in the BOAT  website about their product issue date and details of invoice should be uploaded. sound quality and microphone is best and wire seems to be tangible and is of good quality. Want good and long lasting product at better price then go for it to buy.,"Oct, 2018",", Puri",1,0
4,Pretty good,"design is best in class.sound quality is exceptional , although bass is a little high but if u r a musichead ur gonna love it😍😍.   ","Aug, 2018",", Alappuzha",1,1
1,Hated it!,delivery is fast,"Jan, 2020",", Agra",2,9
5,Super!,"This is not good product , I was also using previous ear phone that was too good but this ear phone wire is very thin , this is bad in quality only in wire by the way sound quality is good and base quality is also very good","May, 2020",", Mumbai",2,4
3,Does the job,Superb product against the price whats attract is the price and design and the amazing sound quality worth the price but quality should improve little,9 months ago,", Gurugram",1,2
3,Nice,"Sound is very loud, crisp, clear and very balanced but bass is very low. This is not expected from brand like boat which known for bass quality.","Jan, 2021",", Bangalore",1,1
2,Moderate,"Design not so good, as not handy sharp cone and layered cone not so good.","Jun, 2020",", Guwahati",1,1
4,Good choice,"Earphone is good,  I like the soft pink girly color,  bass and sound quality is good but didn't like one thing... It doesn't fit properly in my ears.. Keep . falling.. This is  irritating.. Over all good product coz it has one limitation.. Thank you ekart and flipkart for providing these kinds of products when going market can be life threatening","Jun, 2020",", Gautam Buddha Nagar",1,0
5,Terrific purchase,I purchased this product a very long time ago. At that time I got more pairs of extra ear tips and the wire is also so tangle free. But now this in this product I got only two pairs and the wire quality is not so good and it is just above par. The sound quality is good as well as bass. The two cables after the dissection from microphone looks very thin and make to feel I should take care about them while I use.,"Jun, 2020",", Guntur District",1,0
5,Mind-blowing purchase,The earphone are Matt colours and looks very premium. The bass quality is good as compared to various earphones which comes in the same prices . I got it for 384 /- which I think was a great deal !! Thank you Flipkart . The delivery was way before time .,"Jun, 2020",", Lucknow",1,0
